,AY328853,CP058330,DQ222855,EU734170,HM246722,HQ163896,JQ965702,JX290549,KC012913,KF156338,KF854250,KJ802832,KP687432,KR093631,KR093640,KR908644,KU230356,KU594605,KU686197,KX349901,KY963371,LC576631,LT992259,MF398190,MG592395,MG592458,MG592551,MG592661,MG656408,MH389777,MH445380,MH445500,MH460463,MH590593,MH972263,MK095197,MK095198,MK095206,MK331931,MK867354,MN013075,MN047438,MN813678,MN905546,MT375525,MT639639,MT647606,MT713136,MT889385,MW117966,MW460250,MW495066,MZ443782,MZ475894,MZ501270,MZ997839,NC_011038,NC_023009,NC_023587,NC_025417,NC_031032,NC_041831,NC_047730,NC_048077,NC_048637,NC_049835,bar_cnt
Labilibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luminiphilus,0,0,32,0,0,0,0,0,91,0,0,0,0,0,74,0,0,0,0,0,2,1,4,0,0,333,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,823,193,0,0,0,0,0,1,0,2,0,0,0,78,0,0,0,0,0,0,154
Marinisoma,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Marinobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Microbacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
OM182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ochrobactrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Paraburkholderia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
Pedobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Pelagibacter,0,0,0,0,2,17,0,0,89,0,0,0,4,0,0,0,0,0,0,0,0,3,4,18,0,531,0,0,5,4,3,0,0,0,0,0,1,0,58,0,1,1,0,0,2,0,0,0,0,0,7,0,6,0,0,7,0,19,0,80,0,3,3,2,0,1,191
Pelagibacter_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Pelomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50
